"Node","Node_ID","Node_Name","Node_Order","Node_Type","Downstream_Node","Latitude","Longitude","County"
0803532,0803532,CHERRY CREEK RESERVOIR,0,StreamGage,08_AWP005,39.640793,-104.855487,ARAPAHOE
0801400,0801400,ALDERMAN DITCH,0,StreamGage,08_ADP002,39.164051,-104.678533,DOUGLAS
06714000,06714000,SOUTH PLATTE RIVER AT DE,0,StreamGage,AggWell_02,39.759708,-105.003319,DENVER
0702118,0702118,WEST FK CLEAR CR MIN FL,0,StreamGage,0704030,39.768613,-105.815551,CLEAR CREEK
0702113,0702113,LEAVENWORTH CR MIN FLOW,0,StreamGage,0700681,39.613162,-105.774558,CLEAR CREEK
07_LSA,07_LSA,Loveland Ski Area,0,StreamGage,0702109,,,
2302118,2302118,MICHIGAN CREEK MIN FLOW,0,StreamGage,2302907,39.450555,-105.935837,PARK
CLPRF,CLPRF,Poudre River RF blw Gage,0,StreamGage,CenHighRFs,,,
2302914,2302914,FRENCH CREEK ABOVE CONFL,0,StreamGage,2302914_A,,,PARK
0504010,0504010,BUTTON ROCK RES,0,StreamGage,LONG_RES_Re,40.216918,-105.372551,BOULDER
0500548,0500548,DENIO TAYLOR DITCH,0,StreamGage,0500549,40.186840,-105.189938,BOULDER
MIDSTECO,MIDSTECO,MIDDLE SAINT VRAIN AT PE,0,StreamGage,0502120,40.131924,-105.517223,
0502127,0502127,S ST VRAIN CR MIN FLOW 2,0,StreamGage,0500520,40.167394,-105.396777,BOULDER
0504020,0504020,BEAVER PARK RES,0,StreamGage,0502115_Dwn,40.119279,-105.519236,BOULDER
06724000,06724000,ST. VRAIN CREEK AT LYONS,0,StreamGage,0500523,40.218040,-105.259987,BOULDER
06741510,06741510,BIG THOMPSON RIVER AT LO,0,StreamGage,0400523,40.378595,-105.061091,LARIMER
06724500,06724500,LEFT HAND CREEK NEAR BOU,0,StreamGage,0500564,40.125542,-105.303879,BOULDER
06730300,06730300,COAL CREEK NEAR PLAINVIE,0,StreamGage,0600615,39.877766,-105.277214,JEFFERSON
06722500,06722500,SOUTH ST. VRAIN CREEK NE,0,StreamGage,0502115,40.090820,-105.514442,BOULDER
0604199,0604199,GROSS RES,0,StreamGage,0602110_U,39.947560,-105.362891,BOULDER
06744000,06744000,BIG THOMPSON RIVER AT MO,0,StreamGage,9903334_C,40.349983,-104.784966,WELD
06739500,06739500,BUCKHORN CREEK NEAR MASO,0,StreamGage,0400501,40.434444,-105.184441,LARIMER
