Node_ID,Node_Name,Node_Type
0600565_I,Leyner Cottonwood Irriga,DIV
0600566,COTTONWOOD DITCH 2,DIV
0600567,DAVIDSON DITCH,DIV
0600569_D,DRY CREEK DAVIDSON DITCH,DIV
0600570,DRY CREEK NO 2 DITCH,DIV
0600575,EAST BOULDER DITCH,DIV
0600576,ENTERPRISE DITCH,DIV
0600580,HOWARD DITCH,DIV
0600582,JONES DONNELLY DITCH,DIV
0600585,MARSHALVILLE DITCH,DIV
0600586,MCGINN DITCH,DIV
0600588,S BOULDER BEAR CR DITCH,DIV
0600590,South Boulder Conduit,DIV
0600592,SCHEARER DITCH,DIV
0600593,S BOULDER CANON DITCH,DIV
0600597,Lafayette PL,DIV
0600598,Louisville PL,DIV
0600599,BOULDER CITY PL,DIV
0600603,SILVER LAKE DITCH,DIV
0600606,CHURCH DITCH(UPPER),DIV
0600608_D,EGGLESTON NO 1 DITCH,DIV
0600610,ERIE COAL CR DITCH,DIV
0600611,HARRIS DITCH,DIV
0600612,KERR DITCH NO 1,DIV
0600613,KERR DITCH NO 2,DIV
0600615,LAST CHANCE DITCH,DIV
0600621,WILLIAM C HAKE DITCH,DIV
0600622,T N WILLIS DITCH,DIV
0600650,GOODHUE DITCH,DIV
0600663,Idaho Creek,DIV
0600753,ANDERSON EXTENSION DITCH,DIV
0600800,Boulder Res Intake,DIV
0600800_SV,BOULDER RES MUNICIPAL DE,DIV
0600878,Lafayette Boulder Creek,DIV
0600902_C,Dry Creek Carrier,DIV
0600943,BOULDER PL 3 AT BARKER R,DIV
0604173_C,Baseline Res to Lafayett,DIV
0604212_C,Marshall Res to Louisvil,DIV
060800_IMP,Boulder CBT Import Locat,DIV
06BOULDER_I,Boulder Indoor,DIV
06BOULDER_O,Boulder Outdoor,DIV
06BOULD_RTN,Boulder Return,DIV
06LAFFYT_I,Lafayette Indoor,DIV
06LAFFYT_O,Lafayette Outdoor,DIV
06LOUIS_I,Louisville Indoor,DIV
06LOUIS_O,Louisvills Outdoor,DIV
06_AMP001_I,WD 6 Agg Muni Indoor,DIV
06_AMP001_O,WD 6 Agg Muni Outdoor,DIV
06_AUP001_I,WD 6 Unincorp Indoor,DIV
06_AUP001_O,WD 6 Unincorp Outdoor,DIV
06_BOU_RF,Constant Winter RF,DIV
06_BWRCBT,CBT BWR Turnout,DIV
06_CBT_IMP,CBT Import Location,DIV
06_ELDORA,Eldora Ski Resort,DIV
06_MOF_IMP,Moffat Import Location,DIV
06_SWSP_IMP,CBT SWSP Location,DIV
06_VALMPP,PSCO,DIV
06_VALMT_C,Combined Valmont Res Inl,DIV
0700502,AGRICULTURAL DITCH,DIV
0700502_A,Ag Ditch Aug Stn,DIV
0700502_I,Ag Ditch Irrigators,DIV
0700527_D,Slough Ditches,DIV
0700527_D_A,Slough Aug Stn,DIV
0700540,CHURCH DITCH,DIV
0700540_A,Church Aug Stn,DIV
0700540_C,Church D to Standley,DIV
0700540_I,Church Ditch Irrigators,DIV
0700542,Golden City D,DIV
0700547,Lower Clear Ck D,DIV
0700547_I,Lower Clear Ck D Irrigat,DIV
0700549,Colorado Ag D,DIV
0700549_I,Colorado Ag Ditch Irriga,DIV
0700551,CORT GRAVES HUGHES DITCH,DIV
0700553,Croke Canal,DIV
0700553_Arv,ArvadaReleaseFromCroke,DIV
0700569,FARMERS HIGHLINE CNL,DIV
0700569_A,FHL Aug Stn,DIV
0700569_C,FHL Canal to Standley,DIV
0700569_I,FHL Canal Irrigators,DIV
0700570,FISHER DITCH,DIV
0700570_A,Fisher Aug Stn,DIV
0700570_C,Fisher D to PSCO,DIV
0700570_I,Fisher Ditch Irrigators,DIV
0700597,KERSHAW DITCH,DIV
0700597_A,Kershaw Aug Stn,DIV
0700597_I,Kerhaw Ditch Irrigators,DIV
0700601,Lee Stewart Eskins Ditch,DIV
0700601_I,Lee Stewart Eskins Irrig,DIV
0700614,MANHART DITCH,DIV
0700632,OUELETTE DITCH,DIV
0700647,RENO JUCHEM DITCH,DIV
0700652,ROCKY MOUNTAIN DITCH,DIV
0700652_A,Rky Mtn Aug Stn,DIV
0700652_I,Rocky Mtn Ditch Irrigato,DIV
0700669,SOUTH SIDE DITCH,DIV
0700681,Georgetown D,DIV
0700698,Wannamaker Ditch,DIV
0700698_A,Wannamaker Aug Stn,DIV
0700698_I,Wannamaker Irrigators,DIV
0700699,WELCH DITCH,DIV
0700699_A,Welch Aug Stn,DIV
